2026-08-09 19:37:43,098 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:40,865 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:40,887 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:40,925 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:42,179 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:04:43,169 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:04:44,443 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:45,404 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:46,716 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9754 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:04:47,737 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9754 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:04:49,005 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:50,073 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:51,259 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:52,307 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:53,501 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.7667 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:54,580 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.7667 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:55,762 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9868 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:57,043 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9868 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:57,059 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9868 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:58,009 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7831 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:59,492 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7831 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:04:59,496 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7831 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:00,307 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9174 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:01,799 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9174 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:01,821 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9174 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:02,596 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.909 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:04,126 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.909 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:04,140 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.909 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:04,814 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9984 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:06,530 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9984 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:06,530 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9984 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:07,072 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9994 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:09,201 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9994 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:09,220 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9994 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:09,518 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:11,553 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:11,624 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:11,771 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:14,033 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:14,134 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:14,205 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:16,332 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:16,538 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:16,585 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:18,603 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:18,896 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:18,909 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:20,858 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:21,250 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:21,287 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.602 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:23,126 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.602 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:23,558 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.602 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:23,587 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:25,355 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:25,878 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:25,942 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9973 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:27,630 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9973 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:28,347 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9973 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:28,371 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9949 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:29,876 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9949 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:30,737 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9949 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:31,597 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:32,232 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:33,341 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:34,382 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:36,300 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:36,446 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:05:36,633 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:38,653 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:38,816 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:38,895 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.5873 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:41,047 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.5873 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:41,227 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.5873 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:41,277 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9711 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:43,456 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9711 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:43,657 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9711 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:43,684 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:45,789 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:46,125 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:46,140 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9885 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:48,037 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9885 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:48,443 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:05:48,445 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9885 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:50,242 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:05:50,866 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:50,886 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:52,476 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:05:53,241 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:53,276 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:54,689 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:05:55,593 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7908 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:55,634 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7908 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:56,921 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7908 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:57,989 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:57,996 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:58,481 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:05:59,171 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:06:00,365 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9251 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:00,376 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9251 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:00,717 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9251 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:01,429 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9251 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:02,834 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9927 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:02,891 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9927 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:03,052 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9927 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:03,675 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9927 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:06:05,316 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:06:05,384 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:06:05,467 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:06:06,071 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:17:03,066 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:17:28,863 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:18:21,583 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:19:18,574 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:19:34,385 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:00,346 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:02,753 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.6621 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:20:05,127 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:20:07,633 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:20:10,032 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:20:12,411 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:20:14,765 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9754 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:20:17,137 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:20:19,492 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:20:21,827 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.7667 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:20:24,587 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9868 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:20:27,095 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7831 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:20:29,435 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9174 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:20:31,778 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.909 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:20:34,115 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9984 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:20:36,419 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9994 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:20:38,754 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:41,254 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:20:43,598 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
